tmdb_id,imdb_id,title,year,rating,genres,overview,poster_path,mood
13,tt0109830,Forrest Gump,1994,8.5,"Comedy, Drama, Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,Happy
324857,tt4633694,Spider-Man: Into the Spider-Verse,2018,8.4,"Action, Adventure, Animation, Science Fiction","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,Happy
244786,tt2582802,Whiplash,2014,8.4,"Drama, Music","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",/7fn624j5lj3xTme2SgiLCeuedmO.jpg,Happy
569094,tt9362722,Spider-Man: Across the Spider-Verse,2023,8.4,"Action, Adventure, Animation","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,Happy
105,tt0088763,Back to the Future,1985,8.3,"Adventure, Comedy, Science Fiction","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,Happy
8587,tt0110357,The Lion King,1994,8.3,"Animation, Drama, Family","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,Happy
490132,tt6966692,Green Book,2018,8.2,"Comedy, Drama","Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,Happy
354912,tt2380307,Coco,2017,8.2,"Adventure, Animation, Comedy, Family, Fantasy, Music","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,Happy
315162,tt3915174,Puss in Boots: The Last Wish,2022,8.3,"Action, Adventure, Animation, Comedy, Family, Fantasy","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,Happy
914,tt0032553,The Great Dictator,1940,8.3,"Comedy, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,Happy
3082,tt0027977,Modern Times,1936,8.3,"Comedy, Drama",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg,Happy
1585,tt0038650,It's a Wonderful Life,1946,8.3,"Drama, Family, Fantasy","A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg,Happy
508965,tt4729430,Klaus,2019,8.2,"Adventure, Animation, Comedy, Family, Fantasy","When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,Happy
37165,tt0120382,The Truman Show,1998,8.1,"Comedy, Drama","Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend, is really an actor, paid to be part of his life.",/vuza0WqY239yBXOadKlGwJsZJFE.jpg,Happy
508442,tt2948372,Soul,2020,8.2,"Animation, Comedy, Drama, Family, Fantasy","Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,Happy
406997,tt2543472,Wonder,2017,8.2,"Drama, Family","The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",/ouYgAatYH4JzIThj6FI3UYf31RI.jpg,Happy
901,tt0021749,City Lights,1931,8.3,"Comedy, Drama, Romance","In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,Happy
10681,tt0910970,WALL·E,2008,8.1,"Animation, Family, Science Fiction","What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,Happy
100,tt0120735,"Lock, Stock and Two Smoking Barrels",1998,8.1,"Comedy, Crime",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,/8kSerJrhrJWKLk1LViesGcnrUPE.jpg,Happy
935,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.1,"Comedy, Drama, War","After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",/gHm96BRW4GoI339rF1vYoYTB6Qe.jpg,Happy
120467,tt2278388,The Grand Budapest Hotel,2014,8.0,"Comedy, Drama","The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,Happy
106646,tt0993846,The Wolf of Wall Street,2013,8.0,"Comedy, Crime, Drama","A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,Happy
872,tt0045152,Singin' in the Rain,1952,8.2,"Comedy, Romance","In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,Happy
337404,tt3228774,Cruella,2021,8.1,"Comedy, Crime","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",/wToO8opxkGwKgSfJ1JK8tGvkG6U.jpg,Happy
284,tt0053604,The Apartment,1960,8.2,"Comedy, Drama, Romance","Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg,Happy
555604,tt1488589,Guillermo del Toro's Pinocchio,2022,8.2,"Animation, Drama, Fantasy, Music","During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg,Happy
515001,tt2584384,Jojo Rabbit,2019,8.0,"Comedy, Drama, War","A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",/7GsM4mtM0worCtIVeiQt28HieeN.jpg,Happy
424694,tt1727824,Bohemian Rhapsody,2018,8.0,"Drama, History, Music","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,Happy
239,tt0053291,Some Like It Hot,1959,8.1,"Comedy, Crime, Romance","Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,Happy
449176,tt5164432,"Love, Simon",2018,8.0,"Comedy, Drama, Romance",Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.,/5YUYg5q7QfC4IoNwNUtiwdiYKPr.jpg,Happy
10098,tt0012349,The Kid,1921,8.2,"Comedy, Drama",A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,/drgMcyTsySQBnUPGaBThCHGdlWT.jpg,Happy
400928,tt4481414,Gifted,2017,8.0,"Comedy, Drama","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",/7YB2YrMwIm1g8FyZtlvmVDfRnAT.jpg,Happy
862,tt0114709,Toy Story,1995,8.0,"Adventure, Animation, Comedy, Family","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Happy
618344,tt11079148,Justice League Dark: Apokolips War,2020,8.3,"Action, Animation, Science Fiction","Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,Happy
606856,tt5116302,Togo,2019,8.2,"Adventure, Family","The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",/921q4gPNN4J6UxvKaw6SCNBe3F8.jpg,Happy
28178,tt1028532,Hachi: A Dog's Tale,2009,8.0,"Drama, Family",A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,/lsy3aEsEfYIHdLRk4dontZ4s85h.jpg,Happy
14160,tt1049413,Up,2009,7.9,"Adventure, Animation, Comedy, Family","Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",/vpbaStTMt8qqXaEgnOR2EE4DNJk.jpg,Happy
279,tt0086879,Amadeus,1984,8.0,"Drama, History, Music","Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg,Happy
164558,tt2515086,One Direction: This Is Us,2013,8.3,"Documentary, Music","""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis's really like to be One Direction.",/cxIoYa7uboxiDvWGxdad6fvgpcH.jpg,Happy
150540,tt2096673,Inside Out,2015,7.9,"Adventure, Animation, Comedy, Drama, Family","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,Happy
522924,tt1478839,The Art of Racing in the Rain,2019,8.2,"Comedy, Drama, Family, Romance","A family dog – with a near-human soul and a philosopher's mind – evaluates his life through the lessons learned by his human owner, a race-car driver.",/mi5VN4ww0JZgRFJIaPxxTGKjUg7.jpg,Happy
