song_id,title,artist,mood,rating,youtube_id,mood_source
bw_0001,Tere Bina,A.R. Rahman,Happy,4.5,9JDSGhhiOwI,acoustic
bw_0002,Where's The Party Tonight,Shaan,Happy,4.33,ifT-NS_E7EY,keyword
bw_0003,Tere Mast Mast Do Nain (Duet),Rahat Fateh Ali Khan,Happy,4.33,oyLVu753XJw,keyword
bw_0004,Khushi Ke Bahaane Aaye,Sonu Nigam,Happy,4.33,42ds8qeuoMQ,keyword
bw_0005,Mast Magan,Arijit Singh,Happy,4.2,xitd9mEZIHk,keyword
bw_0006,Saali Khushi,Amit Trivedi,Happy,4.0,MlLBmn4mdZM,keyword
bw_0007,Tere Mast Mast Do Nain (Male),Rahat Fateh Ali Khan,Happy,4.0,QWaXpiQwtpI,keyword
bw_0008,Tak Dhoom,Kailash Kher,Happy,4.0,XMqAYe5i82U,keyword
bw_0009,Laayegi Tu Khushi Yeh Kaha Tha Ab Nibha Le Zindagi Tera Vaada,Sonu Nigam,Happy,4.0,N0ChCckkReA,keyword
bw_0010,Laayegi Tu Khushi Yeh Kaha Tha Ab Nibha Le Zindagi Tera Vaada (Unplugged),Rekha Bhardwaj,Happy,4.0,sCklpAeQk74,keyword
bw_0011,Kya Karoon,Clinton Cerejo,Happy,5.0,nHCwoQk8ToA,fallback
bw_0012,Chhodunga Naa Tujhko Kabhi,Arijit Singh,Happy,5.0,gh9FoxuYx8k,fallback
bw_0013,Manjha,Amit Trivedi,Happy,4.88,YKcmMmJlKNk,fallback
bw_0014,Jugni,Amit Trivedi,Happy,4.83,GxWWAFcLJpQ,fallback
bw_0015,Piyu Bole,Shreya Ghoshal,Happy,4.75,ZAkr0KFFLLs,fallback
bw_0016,Taare Zamin Par,Shankar Mahadevan,Happy,4.75,DSWMEuI-kLc,fallback
bw_0017,Aabaad Barbaad (Ya To Barbaad Kar Do),Arijit Singh,Happy,4.75,jh66Pjtqr4k,fallback
bw_0018,Shikayatein Mitaane Lagi Subah Bedagh Hai,K. Mohan,Happy,4.71,p5BNyEfMDwU,fallback
bw_0019,Kaisi Paheli Zindagani,Sunidhi Chauhan,Happy,4.67,-6Y8hMyEoV8,fallback
bw_0020,Ae Hairat-E-Aashiqi,Hariharan,Happy,4.67,038jmlSH3iM,fallback
bw_0021,Tu Muskura,Alka Yagnik,Happy,4.67,U0nfYIIT4cU,fallback
bw_0022,Tore Bina,Sukhwinder Singh,Happy,4.67,qitrcE_c7PI,fallback
bw_0023,Apna Time Aayega,Ranveer Singh,Happy,4.67,jFGKJBPFdUA,fallback
bw_0024,Tum Ko Pa Hi Liya Maine Yun,Kavita Subramaniam,Happy,4.6,VqFn3FvVjk4,fallback
bw_0025,Tu Bin Bataye,Madhushree,Happy,4.57,UqblLzBwlns,fallback
bw_0026,Dheere Jalna,Sonu Nigam,Happy,4.5,LqMhqSwi7Fw,fallback
bw_0027,Lukka Chhuppi,Lata Mangeshkar,Happy,4.5,FFpgYjL2aJo,fallback
bw_0028,Jaage Hain Der Tak,K.S. Chitra,Happy,4.5,r8vZ3I4b9XU,fallback
bw_0029,Nazrein Milaana Nazrein Churaana,Benny Dayal,Happy,4.5,PFVwNbhVqkw,fallback
bw_0030,Behti Hawa Sa Tha Woh,Shaan,Happy,4.5,ewvddSUEONQ,fallback
bw_0031,Suno Aisha,Amit Trivedi,Happy,4.5,fAzO3s7Dgnw,fallback
bw_0032,Sajdaa,Rahat Fateh Ali Khan,Happy,4.5,3rPEWcY6Oww,fallback
bw_0033,Isi Baat Pe (Agar Zindagi),KK,Happy,4.5,1xdcRsQ8DrY,fallback
bw_0034,Jee Le Zara,Vishal Dadlani,Happy,4.5,UT3NjMzSzO4,fallback
bw_0035,Jaagi Jaagi Raina,Vasuda Sharma,Happy,4.5,HqPvI_CwTe8,fallback
bw_0036,Ab Ki Ye Subah,Khalid Ahamed,Happy,4.5,_7Cn3HNciBI,fallback
bw_0037,Mawali Qawwali,Raghav Mathur,Happy,4.5,1wlYmRbY2L0,fallback
bw_0038,Dhadkanen Goonjti Dhadaam Dhadaam,Neeti Mohan,Happy,4.5,eV4ItiYXGKM,fallback
bw_0039,Pashmina Dhaagon Ke Sang,Amit Trivedi,Happy,4.5,uxTXp0-iZrY,fallback
bw_0040,O Zaalima,Arijit Singh,Happy,4.5,qiglT5BZx58,fallback
bw_0041,O Rajaji Naina Chugalkhor Rajaji,Pratibha Singh Baghel,Happy,4.5,5w5WP3FJb6g,fallback
bw_0042,Tum To Rahogi Meri,Arijit Singh,Happy,4.5,tGs7iLem1cE,fallback
bw_0043,Tunak Tunak Tun,Daler Mehndi,Happy,4.5,IFP3Jc5ztgg,acoustic
bw_0044,Mehndi Laga Ke Rakhna,Lata Mangeshkar,Happy,4.0,-bNwqXvMuB8,acoustic
bw_0045,Ooh La La,Andrew Playfoot,Happy,4.0,cO-spKSbKk0,acoustic
bw_0046,Thandi Hawa Kaali Ghata Aa Hi Gayi Jhoom Ke,Geeta Dutt,Happy,5.0,z91UKyXA9Mc,keyword
bw_0047,Dekhi Zamane Ki Yaari Bichhde Sabhi Baari Baari,Mohammed Rafi,Happy,5.0,MijXDNR9YmA,keyword
bw_0048,In Aankhon Ki Masti Ke Mastane Hazaron Hain,Asha Bhosle,Happy,5.0,cXdJJvpgTvw,keyword
bw_0049,Tumhen Ho Na Ho (Mujhe Pyar Tumse Nahin Hai) - Happy,Runa Laila,Happy,4.8,AZXSBVWQ8wo,keyword
bw_0050,Ab To Hai Tum Se Har Khushi Apni,Lata Mangeshkar,Happy,4.67,emKJ5_cMEHk,keyword
bw_0051,Masti Bhara Hai Sama,Lata Mangeshkar,Happy,4.6,StB3f4u2yEI,keyword
bw_0052,Rangeela Re,Asha Bhosle,Happy,4.6,QSpQkE5D_WI,keyword
bw_0053,Ae Dil-E-Beqaraar Jhoom,K.L. Saigal,Happy,4.5,jEMR9V-QH1U,keyword
bw_0054,Aaj Gaawat Man Mero Jhoom Ke (Tumre Gun Gaoon Re),D.V. Paluskar,Happy,4.5,X76um2OQjjc,keyword
bw_0055,Jawaniyan Yeh Mast Mast Bin Piye,Mohammed Rafi,Happy,4.5,eWvUeEfSDd0,keyword
bw_0056,Rangeela Re Tere Rang Mein Yun Ranga Hai Mera Mann,Lata Mangeshkar,Happy,4.5,GzJCS7IiyJc,keyword
bw_0057,Jaisa Mera Roop Rangeela Waisa Mile Jawaan,Lata Mangeshkar,Happy,4.5,9G57EYAsNuk,keyword
bw_0058,Yeh Dosti Hum Nahin Todenge (Happy),Kishore Kumar,Happy,4.5,Bx5sqAE86e0,keyword
bw_0059,Aaya Mausam Dosti Ka,Lata Mangeshkar,Happy,4.5,oJb_hqWWuWg,keyword
bw_0060,Chaahe Koi Khush Ho Chaahe Gaaliyaan Hazaar De,Kishore Kumar,Happy,4.33,OrajwCIXhkM,keyword
bw_0061,Mainu Vida Karo,Arijit Singh,Sad,5.0,lZZmQNi0jHg,keyword
bw_0062,Re Kabira Maan Ja (Encore),Arijit Singh,Sad,4.75,MuCfsZk9lbU,keyword
bw_0063,Channa Mereya,Arijit Singh,Sad,4.75,284Ov7ysmfA,keyword
bw_0064,Kabhi Alvida Naa Kehna,Sonu Nigam,Sad,4.6,O8fIwHfZz2E,keyword
bw_0065,Judaai (Chadariya Jhini Re Jhini),Rekha Bhardwaj,Sad,4.6,f7dd7aojpUY,keyword
