song_id,title,artist,mood,year,valence,energy,youtube_id
0KEvBxQwwUOvnu3nHwPhSf,Hopeful,Kat McDowell,Happy,2014,0.871,0.663,
5wVpFjQXpHN3wfvUnq4Lvc,Can't Get Enough,Matias,Happy,2019,0.568,0.861,
1bEgupxa2S7hZ4kRrwer4s,G.O.A.T,CRO$$FADE,Happy,2020,0.84,0.86,
14meM6DoShP6zl7Ns982V5,Just Above Midtown,Sweet Billy Pilgrim,Happy,2015,0.903,0.768,
5uUYopMa3JLNZS4yIFiOKf,High Hopes,Rationale,Happy,2018,0.597,0.748,
5vQv2yfSgJDSTBCdy96wUQ,Hardest Years,Max Norton,Happy,2017,0.626,0.902,
50UACyUXDak9HgBftxpUKq,Breaking Bones,Trevor and the Joneses,Happy,2017,0.79,0.89,
77y0GwW7naWn0NVESERNXM,The Storm Won't Come,Richard Thompson,Happy,2018,0.646,0.78,
10P7US7L1dpr10RMQBUsmF,Change,Tater Family Travelling Circus,Happy,2012,0.946,0.875,
2BBpJEcOQv7COhoTUU4Nxf,Lola Rasta Khmer,Dub Addiction,Happy,2013,0.791,0.653,
4jSZOgQBajkSLclHiZL0lO,Racial Treason,Kaos Krew,Happy,2020,0.772,0.693,
4DbvDAT6sWG7bwnn88VUXq,Born Under a Bad Sign,Gary Hoey,Happy,2013,0.678,0.82,
3qRIV0PVeFySEwsXHfxI8z,Oil in My Lamp,Sing n Play,Happy,2013,0.799,0.621,
4Q2vfkCeYQTFcLlCQtFrmk,Polaroid,The Band Of Heathens,Happy,2016,0.717,0.592,
0HmQXYM2MIq9WyyNhEQx4Q,Until Our Ashes Are Gone,Ulrich Ellison and Tribe,Happy,2016,0.586,0.55,
42sWJGsXNIh3RfjklT7FKg,Cutlass,Haiti Babii,Happy,2020,0.55,0.609,
0rjBm2wscUuPoXh6PzE2Fk,Ultimo Recurso,Raymundo,Happy,2012,0.578,0.573,
4VyGYi89EWHtq3aWxgzfJ8,Los Angeles,28 North,Happy,2014,0.567,0.783,
3VKkHJ2Cw3yoM8ij7yekSw,A Change,Aretha Franklin,Happy,2014,0.893,0.748,
2FdhxOSvLzaMsyfGPkaDJb,"Butterfly - Phil Asher's restless soul Vocal Mix, Mixed",Osunlade,Happy,2016,0.66,0.75,
7JzGaCfof3YGgtbjGI4ezZ,Tell It to Me,The New Southern Ramblers,Happy,2012,0.929,0.566,
5KGEEEzWzFCYDbQz4N34IR,La Doncella,Gaspar OM,Happy,2016,0.789,0.582,
2XqarxlEHWxvroG6WUmRKU,Never Bring Me Down,Chingaso,Happy,2014,0.858,0.85,
6CFm7kWSNIESqqOxKbou3Y,Calor,Nolo Y Phade,Happy,2014,0.888,0.869,
0VL9eMAAmEGORYXPrH5spu,Over the Shoulder,Ministry,Happy,2018,0.612,0.986,
0kA8wm9ZXl5WKSHXUxqqdh,Quantum Romanticum,Mosquitos,Happy,2017,0.746,0.659,
6FsEfGldsSpdccUgZldRcE,I Got All You Need (Live),Joe Bonamassa,Happy,2014,0.563,0.633,
42MPJVsasDm96UhPCdYHKo,You Got It,Stephen Melton,Happy,2015,0.553,0.561,
2m2kZQV68y5fdYlGtsGdxm,Formica Hearts,Sugarplum Fairies,Happy,2018,0.666,0.614,
3WNWH6Lrncb6ocShFDEYsW,Explosive,Jipsta,Happy,2017,0.809,0.983,
7DrLATgWtwxdvJk6sLckEc,Hold Ya Head,Joe Cash Mahall,Happy,2020,0.657,0.656,
5lRjq21DUOxkq0GSxFOpWr,Out On the Highway,The Porter Draw,Happy,2014,0.587,0.805,
47aTQo7jVQFffwoPb2Qh7j,Six Beauties On a Rooftop,Nils Landgren Funk Unit,Happy,2014,0.895,0.741,
4kfEy7h6bWBS5OaDpccTap,Marvelous Day (feat. Lil Uzi Vert & Gunna),Kap G,Happy,2017,0.581,0.651,
6pUAdZhsLRkeYM0bZgKOzR,Island Breeze,Noah Archangel,Happy,2015,0.667,0.75,
2JwFfbptcRmWdgHfifeBUP,"3 Sheets to the Wind, Pt. 2",Barleyjuice,Happy,2013,0.953,0.862,
7xHwhQSKOoSokUc4JDKS0c,Bodyguard,Betty Wright,Happy,2014,0.608,0.652,
0DwndJCTTyGidd4ZXEzuk6,All That's Left (feat. The Time Jumpers),Miranda Lambert,Happy,2014,0.909,0.667,
78ldF1std64iC5Nu06EFtC,Dideldideldei,DoG,Happy,2014,0.574,0.57,
6G9dvcuAhtmQk8NGs3p7y2,Hohner and Steel,Mark Cook,Happy,2012,0.924,0.842,
0FFeA7T9WfCofBwh5mRY9N,Hash,Lugatti & 9ine,Happy,2019,0.607,0.56,
3KeDetngdR6T4mFZTMb00j,(The Dance Of The) Three Jacks,Pavlo,Happy,2014,0.863,0.754,
2B8xFSlDNwBhzYzDQqzAMj,Let It Go,Deville,Happy,2013,0.604,0.931,
4gKYVByx8MeUJNyK1Hucvj,Paraphrased,Parquet Courts,Happy,2016,0.715,0.837,
6r8o1uuDuXsP18QXlLHqKL,Tarde o Temprano,Banda Santa Cecilia,Happy,2016,0.986,0.757,
4Njc3AkF30hWb1WOPX55uf,Wrong Side of the Bed,Bluesville Station,Happy,2015,0.744,0.905,
01JUcLq2sF6zmjq8zZDUcW,Follow Me,Uncle Kracker,Happy,2018,0.966,0.581,
4ngWfYlbumkU1p17oYX51k,Atmen - Single Version,Pohlmann.,Happy,2013,0.746,0.751,
1vSntiBs9gwnBkHe3hVYnV,The Human Beings - KPM Studio Demo,Adam & The Ants,Happy,2016,0.554,0.886,
5VHjcs3w2y8PDapRhwwXGO,Shecky Don't Like It,Kevin Smith,Happy,2019,0.903,0.707,
3PwjPMvC09P4M79ZIiiPrg,Mean Jean,Andre Williams,Happy,2013,0.918,0.551,
5OPVqrGIeApluCWv3i6lmt,Under the Shadow,Siamgda,Happy,2015,0.965,0.993,
0s091HgpUkpAxPuhmJ8b9B,What About Us,Romarzs,Happy,2017,0.658,0.82,
0vKiBmy2RNqiVR8ArvPdyl,Tú Quieres,J Alvarez,Happy,2018,0.803,0.79,
3QYGGqYm77Xy7bkjTPfyHu,The Gram (feat. Eric Biddines),Kill the Motherboard,Happy,2019,0.852,0.867,
2pDbGE65VdtTqE2dttxXBa,Not Like Me,Betty Wright,Happy,2014,0.619,0.655,
1q951cu95yyk62a35BOYLH,like i do,Rupa & the April Fishes,Happy,2012,0.895,0.683,
4yJH9kBPIqCNqbm3u0NMEC,Cowgirl Kiss,The Papers,Happy,2017,0.791,0.82,
1HQlCCa3tbPkx4hYPZBwbg,Roam,ODeath,Happy,2014,0.566,0.675,
4r1VhlFyX10yZaXwNYMbc7,Smooth Flow,Mark Cook,Happy,2014,0.855,0.71,
4kUrW7v7jUkcUlCkDqdspw,Cat Got Your Tongue,Demons Sing of the End,Happy,2018,0.557,0.974,
7HSEQpHEBUIejCz9Puc5cY,Silent Night,Nick Lowe,Happy,2013,0.864,0.722,
41V0tI6buDbdIUYdYsQMz2,The Mechanical Arm - Hippopotamomus,Momus,Happy,2018,0.679,0.555,
00u8eJtfBuzQ6dgD1j7d2P,Lost in Time,Survive Said The Prophet,Happy,2017,0.568,0.909,
293y2X1qWe54Sh01Y95eps,Betrayal,Munich Syndrome,Happy,2019,0.659,0.741,
2dYW2CTgpZbYrr27oBLWVf,Doctor Doctor,Travis Haddix,Happy,2013,0.759,0.809,
3VNdkCwerxfEg5VaAuoI0B,¿Cómo te quiero? (feat. Martina La Peligrosa),Sandoval,Happy,2017,0.86,0.847,
6782vyVZb6FgCJv4igeyFm,I Got Troubles,Bill Watkins,Happy,2012,0.96,0.619,
4qVDM3Tql0Isb2OG17Gi21,Writing's on the Wall,Tre Main,Happy,2018,0.68,0.762,
