song_id,title,artist,mood,youtube_id
1,Happy,Pharrell Williams,Happy,y6Sxv-sUYtM
2,Can't Stop the Feeling!,Justin Timberlake,Happy,ru0K8uYEZWw
3,Walking on Sunshine,Katrina and the Waves,Happy,iPUmE-tne5U
4,Someone Like You,Adele,Sad,hLQl3WQQoQ0
5,Stay With Me,Sam Smith,Sad,pB-5XG-DbAA
6,The Scientist,Coldplay,Sad,RB-RcX5DS5A
7,Killing in the Name,Rage Against the Machine,Angry,bWXazVhlyxQ
8,Till I Collapse,Eminem,Angry,gjTwfiDCabE
9,Yellow,Coldplay,Neutral,yKNxeF4KMsY
10,Perfect,Ed Sheeran,Neutral,2Vv-BfVoq4g
11,Come Away With Me,Norah Jones,Neutral,lbjZPFBD6JU
12,Bohemian Rhapsody,Queen,Surprise,fJ9rUzIMcZQ
13,Here It Goes Again,OK Go,Surprise,dTAAsCNK7RA
14,Thriller,Michael Jackson,Fear,sOnqjkJTMaA
15,Somebody's Watching Me,Rockwell,Fear,7YvAYIJSSZY
